,link_id,x_vector,y_vector
10,10,"[1.0, 1.795357821916645, 2.046695005373023, 2.3528937022746947, 2.493322857064948, 2.5617464840909827, 2.8800605182039654, 2.801796319538556, 2.9998200641470816, 3.0558167066185713, 3.112779212295794, 3.127911849128355, 3.2531350660675313, 3.1199363046731103, 3.2937949574525063, 3.3219636860007506, 3.439726842034615, 3.4348501924628096, 3.3454894649396736, 3.359742013829711, 3.4763219361305384, 3.4946300850290957, 3.3813646919495657, 3.4582302313395537, 3.5650491369281183]","[5.86, 6.773333333333332, 6.255999999999999, 6.92, 7.06, 7.04363636363636, 7.515384615384616, 7.333333333333336, 7.6247058823529406, 7.5589473684210535, 7.716190476190477, 7.844347826086956, 8.064000000000004, 7.383703703703702, 7.963448275862066, 7.9974193548387085, 8.13030303030303, 8.173142857142858, 7.922162162162161, 7.969230769230769, 8.179512195121951, 8.260930232558138, 7.950222222222221, 8.046382978723404, 8.302448979591839]"
11,11,"[1.0, 2.0844662861448735, 2.846534328184092, 3.2783270611506157, 3.770037904278319, 4.0697163231334015, 4.498465124170036, 4.738340958528856, 4.6318016928552, 5.092837611603048, 5.054149048163003, 5.367327692501897, 5.2307207269227955, 5.200326456553109, 5.6580328216913935, 5.554131279953082, 5.912844809872355, 5.884171398291034, 6.276659359610306, 5.964385181521299, 6.157907467548678, 6.241685340554175, 6.144932961439853, 6.454457851343219, 6.606310915089345]","[12.0, 12.273333333333333, 12.84, 12.791428571428574, 12.853333333333335, 13.769090909090906, 14.01384615384616, 14.377333333333333, 13.895294117647063, 14.669473684210526, 14.186666666666666, 14.648695652173915, 14.278400000000007, 13.714814814814817, 14.412413793103454, 14.49032258064516, 14.935151515151507, 14.986857142857138, 15.776216216216222, 14.859487179487179, 15.336585365853662, 15.360465116279062, 15.063111111111114, 15.611063829787234, 15.990612244897958]"
12,12,"[1.0, 1.820651091512547, 2.3520742403824926, 2.5275992742940856, 2.655266962101145, 2.995977634127882, 3.075653642432064, 3.114854764865405, 3.385788567877862, 3.493035711910237, 3.542163215324513, 3.5495364433652146, 3.529201084956782, 3.5282838044805436, 3.7234650348098666, 3.885952659423397, 3.8835964573178683, 3.8223599977392957, 3.9140503094329966, 4.02406938622052, 4.041638578630739, 4.03408089899961, 3.9411399958724345, 3.92964564703974, 3.8816154935884852]","[6.96, 7.473333333333333, 7.772000000000002, 8.079999999999998, 7.775555555555557, 8.607272727272726, 8.713846153846154, 8.326666666666663, 8.841176470588236, 9.115789473684213, 8.61904761904762, 9.05826086956522, 8.740800000000002, 8.792592592592595, 9.318620689655177, 9.475483870967743, 9.372121212121213, 9.309142857142854, 9.422162162162165, 9.604615384615384, 9.820000000000002, 9.58186046511628, 9.299555555555555, 9.261702127659575, 9.063673469387755]"
13,13,"[1.0, 2.068972723355076, 2.6547797683396754, 3.223953791892734, 3.639091669012434, 3.8642986241852113, 4.073536347404776, 4.136779241857244, 4.38543424710804, 4.602405282300875, 5.200708837062414, 4.899181851004564, 4.898522310188071, 4.999646131967024, 5.300837742637425, 5.304004975269764, 5.473994092283847, 5.835387575917075, 5.732394739970097, 5.7124038195678555, 5.817486303723886, 5.61604373908965, 5.882958183001319, 5.537141733938198, 6.278695672167541]","[10.94, 11.086666666666666, 11.468, 12.00571428571429, 12.462222222222222, 12.45272727272727, 12.489230769230767, 12.405333333333331, 12.408235294117649, 12.594736842105265, 13.968571428571426, 13.043478260869563, 13.121599999999999, 13.279259259259256, 13.605517241379307, 13.468387096774196, 13.917575757575754, 14.385714285714284, 13.996756756756758, 13.89435897435897, 14.36146341463415, 13.7106976744186, 14.271555555555551, 13.570638297872337, 14.957142857142857]"
14,14,"[1.0, 1.871848531413547, 2.238002100906199, 2.4961050156905107, 2.6536145461391176, 3.0330472001996, 3.0948713015470672, 3.239403411518403, 3.4396056571674656, 3.53149783866815, 3.5317383365601374, 3.756916216602175, 3.6247002318615875, 3.8006666511105918, 3.7369765677198665, 3.774979766895524, 3.9990696765862133, 3.966807400962854, 4.094108231273851, 4.103745739872964, 4.179639898234595, 4.322736320543831, 4.209827030652864, 4.09484361172682, 4.18782037335523]","[6.94, 7.566666666666666, 7.831999999999999, 7.662857142857141, 7.975555555555555, 8.583636363636364, 8.656923076923078, 8.650666666666666, 8.595294117647061, 9.32526315789474, 8.801904761904764, 9.385217391304346, 9.051999999999996, 9.306666666666667, 9.179310344827584, 9.11225806451613, 9.719393939393937, 9.56742857142857, 9.584324324324326, 9.632820512820512, 9.943414634146341, 9.989767441860467, 9.735555555555553, 9.681702127659575, 9.729795918367346]"
15,15,"[1.0, 2.23152765827224, 2.934629757157128, 3.546013360234442, 3.7522574034401996, 4.273337683935427, 4.56630990945785, 4.872164866393381, 4.959555795298386, 5.166035457909588, 5.53585209460025, 5.552006912318937, 5.775227890656502, 5.941096545010062, 5.902373725713835, 6.331232744252815, 6.321757132298453, 6.295990458322691, 6.499064040304852, 6.942843810306333, 6.635238568199269, 6.768407163436368, 6.946581209744948, 6.717916992436616, 6.790223322910782]","[12.98, 12.97333333333334, 13.724000000000004, 13.717142857142855, 13.828888888888887, 14.80727272727273, 14.904615384615386, 14.962666666666667, 15.037647058823534, 15.316842105263156, 15.873333333333335, 15.678260869565221, 16.056800000000003, 16.426666666666673, 15.92137931034483, 17.10258064516129, 16.83030303030303, 16.520571428571426, 16.628648648648646, 18.05589743589744, 16.722439024390244, 16.98139534883721, 17.568, 16.81787234042553, 16.881632653061224]"
16,16,"[1.0, 2.173617502741497, 2.8046326535083814, 3.3340683173517767, 3.6757752844021776, 4.024135081270391, 4.405931137999262, 4.336726055422862, 4.736683434062153, 4.888088484971509, 5.09938552607036, 5.530384077282304, 5.330029908546994, 5.266560555361882, 5.67217063373854, 5.55815466702109, 5.866116173862168, 6.052417019460946, 6.049247016245265, 6.170789613844787, 6.110686475964047, 6.102521460847957, 6.350305813313234, 6.204995455051442, 6.543198819431768]","[11.84, 12.10666666666667, 12.76, 12.845714285714282, 13.337777777777776, 13.210909090909087, 13.478461538461536, 13.133333333333335, 13.727058823529415, 13.94842105263158, 14.082857142857144, 15.003478260869572, 14.624000000000006, 13.975555555555554, 15.079999999999995, 14.501290322580642, 15.116969696969699, 15.08057142857143, 15.262702702702704, 15.62717948717949, 15.115121951219514, 14.811627906976746, 15.593777777777778, 14.95361702127659, 15.692653061224492]"
17,17,"[1.0, 2.1160557395820554, 2.8642841846103204, 3.2909366513911102, 3.829611792209777, 3.9424207448120963, 4.2013276641829105, 4.559586422775903, 4.870655844772517, 4.846314487210347, 5.233481867879717, 5.206599219377017, 5.47463861781868, 5.454369365704614, 5.660278182627511, 5.733362049628803, 5.675121780448827, 5.9403353116729045, 6.009569609063079, 6.142871400459203, 6.460412308023666, 6.2001887774381474, 6.42517337220469, 6.385561636895522, 6.465061403584466]","[11.82, 12.473333333333334, 12.744000000000003, 12.682857142857141, 13.384444444444444, 13.121818181818176, 13.581538461538466, 13.680000000000001, 14.328235294117643, 13.78, 14.505714285714284, 14.110434782608698, 14.582399999999998, 14.480000000000002, 14.597241379310343, 14.805806451612902, 14.608484848484848, 15.008571428571424, 14.79297297297297, 15.552820512820515, 15.761951219512195, 15.435813953488372, 15.363555555555559, 15.372765957446813, 15.513061224489796]"
18,18,"[1.0, 2.0987197162501574, 2.8559261251592942, 3.203932738464898, 3.58934195725825, 3.896283806117202, 4.047262102255663, 4.351035069350974, 4.624960027353482, 4.592225251848663, 4.698574098166306, 4.988299765919233, 4.985500080832666, 5.314640637038155, 5.539133873046868, 5.635393668134741, 5.647140689244839, 5.770208727437578, 5.641290363766602, 5.739907813553476, 5.665962551144573, 5.957753022316933, 5.700516586904637, 6.04265542843193, 6.090085402609372]","[10.74, 11.380000000000003, 11.988000000000001, 11.751428571428573, 12.66666666666667, 12.249090909090905, 12.315384615384616, 12.766666666666667, 13.303529411764707, 12.939999999999998, 12.96571428571429, 13.64521739130435, 13.261600000000001, 13.84444444444444, 14.061379310344826, 14.367096774193548, 14.132727272727276, 14.576000000000006, 14.155675675675678, 14.089230769230765, 13.733658536585367, 14.400465116279067, 13.948888888888892, 14.279148936170216, 14.42040816326531]"
19,19,"[1.0, 2.1131626093986093, 2.904590330958428, 3.564143302905206, 4.199987698311504, 4.258886841954698, 4.572937350024019, 4.885268234929706, 5.407052552296981, 5.463866755711565, 5.651574341014191, 5.611430026801507, 5.954313524916205, 6.164972557562685, 5.990457235675333, 6.041810587238935, 6.394861867051893, 6.657611711734512, 6.6511681067694495, 6.817085335062801, 7.142117272131148, 7.048462222756059, 6.918814672541957, 7.023469458725272, 7.3482933942633375]","[14.1, 14.259999999999998, 14.38, 14.737142857142855, 15.062222222222225, 14.82909090909091, 15.24153846153846, 15.609333333333332, 16.56941176470588, 15.816842105263161, 16.159047619047623, 16.311304347826084, 16.644000000000002, 17.19851851851852, 16.22275862068965, 16.011612903225807, 16.754545454545454, 17.266857142857145, 17.570810810810816, 17.13897435897436, 18.032682926829267, 17.269302325581396, 17.135555555555555, 17.297872340425535, 17.722040816326533]"
